
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年04月24日","2026年04月25日","14","1","14"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/04/24","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",200,5895,--,--,"2026/04/28",--
"2026/04/24","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",300,5863,--,--,"2026/04/28",--
"2026/04/24","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,5876,--,--,"2026/04/28",--
"2026/04/24","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,5874,--,--,"2026/04/28",--
"2026/04/24","ソフトバンクグループ","9984","東証",信用新規売,"日計り"," 特定 ","--",100,5894,--,--,"2026/04/28",--
"2026/04/24","アドバンテスト","6857","東証",信用返済売,"日計り"," 特定 ","申告",100,28035,--,--,"2026/04/28",-4500
"2026/04/24","アドバンテスト","6857","東証",信用返済売,"日計り"," 特定 ","申告",100,28150,--,--,"2026/04/28",2500
"2026/04/24","アドバンテスト","6857","東証",信用新規買,"日計り"," 特定 ","--",100,28080,--,--,"2026/04/28",--
"2026/04/24","アドバンテスト","6857","東証",信用新規買,"日計り"," 特定 ","--",100,28125,--,--,"2026/04/28",--
"2026/04/24","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,5805,--,--,"2026/04/28",6900
"2026/04/24","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,5918,--,--,"2026/04/28",-2400
"2026/04/24","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",200,5918,--,--,"2026/04/28",-4600
"2026/04/24","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",300,5819,--,--,"2026/04/28",13200
"2026/04/24","ソフトバンクグループ","9984","東証",信用返済買,"日計り"," 特定 ","申告",100,5827,--,--,"2026/04/28",4900


