
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年04月28日","2026年04月28日","9","1","9"

決済損益合計
+24902

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/04/28","ファナック","6954 ","東証","信用返済売","6ヶ月","特定","申告","東証","2026/04/28","買建","100","7170","7186","717000","718600","--","--","--","--","55","1","--","--","--","55","2026/05/01","+1545"
"2026/04/28","ＪＸ金属","5016 ","東証","信用返済買","6ヶ月","特定","申告","東証","2026/04/28","売建","100","4754","4754","475400","475400","--","--","--","14","--","1","--","--","--","14","2026/05/01","-14"
"2026/04/28","ＪＸ金属","5016 ","東証","信用返済買","6ヶ月","特定","申告","東証","2026/04/28","売建","100","4752","4754","475200","475400","--","--","--","14","--","1","--","--","--","14","2026/05/01","-214"
"2026/04/28","ソフトバンクグループ","9984 ","東証","信用返済買","6ヶ月","特定","申告","東証","2026/04/28","売建","200","5287","5262","1057400","1052400","--","--","--","31","--","1","--","--","--","31","2026/05/01","+4969"
"2026/04/28","ソフトバンクグループ","9984 ","東証","信用返済買","6ヶ月","特定","申告","東証","2026/04/28","売建","100","5628","5592","562800","559200","--","--","--","16","--","1","--","--","--","16","2026/05/01","+3584"
"2026/04/28","ソフトバンクグループ","9984 ","東証","信用返済買","6ヶ月","特定","申告","東証","2026/04/28","売建","100","5666","5654","566600","565400","--","--","--","17","--","1","--","--","--","17","2026/05/01","+1183"
"2026/04/28","ソフトバンクグループ","9984 ","東証","信用返済買","6ヶ月","特定","申告","東証","2026/04/28","売建","100","5645","5601","564500","560100","--","--","--","17","--","1","--","--","--","17","2026/05/01","+4383"
"2026/04/28","ソフトバンクグループ","9984 ","東証","信用返済買","6ヶ月","特定","申告","東証","2026/04/28","売建","100","5656","5559","565600","555900","--","--","--","17","--","1","--","--","--","17","2026/05/01","+9683"
"2026/04/28","ソフトバンクグループ","9984 ","東証","信用返済買","6ヶ月","特定","申告","東証","2026/04/28","売建","100","5652","5654","565200","565400","--","--","--","17","--","1","--","--","--","17","2026/05/01","-217"


