
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年05月19日","2026年05月19日","29","1","29"

決済損益合計
-60296

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/05/19","イビデン","4062 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/19","買建","100","15770","15790","1577000","1579000","--","--","--","--","--","1","--","--","--","--","2026/05/21","+2000"
"2026/05/19","イビデン","4062 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/19","買建","100","15790","15835","1579000","1583500","--","--","--","--","--","1","--","--","--","--","2026/05/21","+4500"
"2026/05/19","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/19","買建","300","5560","5522","1668000","1656600","--","--","--","--","--","1","--","--","--","--","2026/05/21","-11400"
"2026/05/19","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/19","買建","200","5565","5522","1113000","1104400","--","--","--","--","--","1","--","--","--","--","2026/05/21","-8600"
"2026/05/19","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/19","買建","300","4711","4723","1413300","1416900","--","--","--","--","--","1","--","--","--","--","2026/05/21","+3600"
"2026/05/19","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/19","買建","200","4701","4723","940200","944600","--","--","--","--","--","1","--","--","--","--","2026/05/21","+4400"
"2026/05/19","アドバンテスト","6857 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/19","買建","100","25375","25095","2537500","2509500","--","--","--","--","--","1","--","--","--","--","2026/05/21","-28000"
"2026/05/19","アドバンテスト","6857 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/19","買建","100","26130","26335","2613000","2633500","--","--","--","--","--","1","--","--","--","--","2026/05/21","+20500"
"2026/05/19","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/19","買建","200","5654","5585","1130800","1117000","--","--","--","--","--","1","--","--","--","--","2026/05/21","-13800"
"2026/05/19","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/19","買建","100","5723","5585","572300","558500","--","--","--","--","--","1","--","--","--","--","2026/05/21","-13800"
"2026/05/19","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/19","買建","100","5723","5586","572300","558600","--","--","--","--","--","1","--","--","--","--","2026/05/21","-13700"
