
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年04月27日","2026年04月27日","24","1","24"

決済損益合計
+23230

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/04/27","アドバンテスト","6857 ","東証","信用返済売","日計り","特定","申告","東証","2026/04/27","買建","100","31520","31440","3152000","3144000","--","--","--","--","--","1","--","--","--","--","2026/04/30","-8000"
"2026/04/27","アドバンテスト","6857 ","東証","信用返済売","日計り","特定","申告","東証","2026/04/27","買建","100","30080","29965","3008000","2996500","--","--","--","--","--","1","--","--","--","--","2026/04/30","-11500"
"2026/04/27","アドバンテスト","6857 ","東証","信用返済売","日計り","特定","申告","東証","2026/04/27","買建","100","29540","29770","2954000","2977000","--","--","--","--","--","1","--","--","--","--","2026/04/30","+23000"
"2026/04/27","アドバンテスト","6857 ","東証","信用返済売","6ヶ月","特定","申告","PTS","2026/04/27","買建","100","31382.3","31440","3138230","3144000","--","--","--","--","240","1","--","--","--","240","2026/04/30","+5530"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/04/27","買建","100","5917","5965","591700","596500","--","--","--","--","--","1","--","--","--","--","2026/04/30","+4800"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/04/27","買建","200","5915","5967","1183000","1193400","--","--","--","--","--","1","--","--","--","--","2026/04/30","+10400"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/04/27","買建","100","5918","5969","591800","596900","--","--","--","--","--","1","--","--","--","--","2026/04/30","+5100"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/04/27","買建","400","5900","5968","2360000","2387200","--","--","--","--","--","1","--","--","--","--","2026/04/30","+27200"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/04/27","買建","200","5917","5964","1183400","1192800","--","--","--","--","--","1","--","--","--","--","2026/04/30","+9400"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/04/27","買建","100","5946","5915","594600","591500","--","--","--","--","--","1","--","--","--","--","2026/04/30","-3100"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/04/27","買建","100","5944","5915","594400","591500","--","--","--","--","--","1","--","--","--","--","2026/04/30","-2900"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/04/27","買建","200","5961","5915","1192200","1183000","--","--","--","--","--","1","--","--","--","--","2026/04/30","-9200"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/04/27","買建","100","5964","5915","596400","591500","--","--","--","--","--","1","--","--","--","--","2026/04/30","-4900"
"2026/04/27","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/04/27","売建","200","7897","7902","1579400","1580400","--","--","--","--","--","1","--","--","--","--","2026/04/30","-1000"
"2026/04/27","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/04/27","売建","100","7895","7902","789500","790200","--","--","--","--","--","1","--","--","--","--","2026/04/30","-700"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/04/27","売建","200","5884","5907","1176800","1181400","--","--","--","--","--","1","--","--","--","--","2026/04/30","-4600"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/04/27","売建","200","5892","5939","1178400","1187800","--","--","--","--","--","1","--","--","--","--","2026/04/30","-9400"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/04/27","売建","100","5893","5939","589300","593900","--","--","--","--","--","1","--","--","--","--","2026/04/30","-4600"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/04/27","売建","300","5967","5922","1790100","1776600","--","--","--","--","--","1","--","--","--","--","2026/04/30","+13500"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/04/27","売建","100","5897","5939","589700","593900","--","--","--","--","--","1","--","--","--","--","2026/04/30","-4200"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/04/27","売建","200","5883","5907","1176600","1181400","--","--","--","--","--","1","--","--","--","--","2026/04/30","-4800"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/04/27","売建","100","5947","5959","594700","595900","--","--","--","--","--","1","--","--","--","--","2026/04/30","-1200"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/04/27","売建","100","5947","5959","594700","595900","--","--","--","--","--","1","--","--","--","--","2026/04/30","-1200"
"2026/04/27","ソフトバンクグループ","9984 ","東証","信用返済買","日計り","特定","申告","東証","2026/04/27","売建","100","5895","5939","589500","593900","--","--","--","--","--","1","--","--","--","--","2026/04/30","-4400"


