
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年04月30日","2026年04月30日","96","1","96"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/04/30","フジクラ","5803","東証",信用新規売,"6ヶ月"," 特定 ","--",100,5970,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規売,"6ヶ月"," 特定 ","--",100,5973,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規売,"6ヶ月"," 特定 ","--",200,5941,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規売,"6ヶ月"," 特定 ","--",100,5966,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規売,"6ヶ月"," 特定 ","--",400,5985,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規売,"6ヶ月"," 特定 ","--",200,5942,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規売,"6ヶ月"," 特定 ","--",100,5962,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規売,"6ヶ月"," 特定 ","--",100,5976,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用新規売,"6ヶ月"," 特定 ","--",100,5964,--,--,"2026/05/07",--
"2026/04/30","三菱重工業","7011","東証",信用新規売,"6ヶ月"," 特定 ","--",200,4575,--,--,"2026/05/07",--
"2026/04/30","三菱重工業","7011","東証",信用新規売,"6ヶ月"," 特定 ","--",300,4574,--,--,"2026/05/07",--
"2026/04/30","三菱重工業","7011","東証",信用新規売,"6ヶ月"," 特定 ","--",100,4574,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規売,"6ヶ月"," 特定 ","--",300,5156,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規売,"6ヶ月"," 特定 ","--",300,5223,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規売,"6ヶ月"," 特定 ","--",200,5222,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規売,"6ヶ月"," 特定 ","--",200,5159,--,--,"2026/05/07",--
"2026/04/30","ソフトバンクグループ","9984","東証",信用新規売,"6ヶ月"," 特定 ","--",400,5225,--,--,"2026/05/07",--
"2026/04/30","フジクラ","5803","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5991,46,--,"2026/05/07",-2346
"2026/04/30","フジクラ","5803","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,6021,46,--,"2026/05/07",854
"2026/04/30","フジクラ","5803","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5955,45,--,"2026/05/07",-2245
"2026/04/30","フジクラ","5803","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,6011,46,--,"2026/05/07",-2146
"2026/04/30","フジクラ","5803","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,6021,46,--,"2026/05/07",2154
"2026/04/30","フジクラ","5803","東証",信用返済売,"6ヶ月"," 特定 ","申告",200,6011,92,--,"2026/05/07",-3492
"2026/04/30","フジクラ","5803","東証",信用返済売,"6ヶ月"," 特定 ","申告",400,5991,184,--,"2026/05/07",-10984
"2026/04/30","フジクラ","5803","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5955,45,--,"2026/05/07",-2545
"2026/04/30","フジクラ","5803","東証",信用返済売,"6ヶ月"," 特定 ","申告",300,6021,138,--,"2026/05/07",1962
"2026/04/30","フジクラ","5803","東証",信用返済売,"6ヶ月"," 特定 ","申告",200,6011,92,--,"2026/05/07",-3892
"2026/04/30","フジクラ","5803","東証",信用返済売,"6ヶ月"," 特定 ","申告",300,5955,137,--,"2026/05/07",-6437
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",200,5194,79,--,"2026/05/07",4321
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",200,5050,77,--,"2026/05/07",923
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5189,39,--,"2026/05/07",1661
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5190,39,--,"2026/05/07",-139
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5226,40,--,"2026/05/07",-1040
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5392,41,--,"2026/05/07",3059
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",200,5051,77,--,"2026/05/07",1123
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5051,38,--,"2026/05/07",-1138
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5104,39,--,"2026/05/07",1261
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",200,5190,79,--,"2026/05/07",3521
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",200,5374,82,--,"2026/05/07",118
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5306,40,--,"2026/05/07",2260
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",400,5104,156,--,"2026/05/07",5844
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5318,40,--,"2026/05/07",3460
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5242,40,--,"2026/05/07",60
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",400,5153,156,--,"2026/05/07",17844
"2026/04/30","ソフトバンクグループ","9984","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,5251,40,--,"2026/05/07",3360
