
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年05月21日","2026年05月21日","25","1","25"

決済損益合計
-126200

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/05/21","ＪＸ金属","5016 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/21","買建","100","4019","4039","401900","403900","--","--","--","--","--","1","--","--","--","--","2026/05/25","+2000"
"2026/05/21","ＪＸ金属","5016 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/21","買建","400","4018","4038","1607200","1615200","--","--","--","--","--","1","--","--","--","--","2026/05/25","+8000"
"2026/05/21","ＪＸ金属","5016 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/21","買建","100","4019","4038","401900","403800","--","--","--","--","--","1","--","--","--","--","2026/05/25","+1900"
"2026/05/21","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/21","買建","200","4539","4471","907800","894200","--","--","--","--","--","1","--","--","--","--","2026/05/25","-13600"
"2026/05/21","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/21","買建","100","4533","4471","453300","447100","--","--","--","--","--","1","--","--","--","--","2026/05/25","-6200"
"2026/05/21","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/21","買建","100","4544","4541","454400","454100","--","--","--","--","--","1","--","--","--","--","2026/05/25","-300"
"2026/05/21","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/21","買建","100","4509","4472","450900","447200","--","--","--","--","--","1","--","--","--","--","2026/05/25","-3700"
"2026/05/21","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/21","買建","100","4526","4472","452600","447200","--","--","--","--","--","1","--","--","--","--","2026/05/25","-5400"
"2026/05/21","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/21","買建","100","4537","4471","453700","447100","--","--","--","--","--","1","--","--","--","--","2026/05/25","-6600"
"2026/05/21","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/21","買建","200","4413","4385","882600","877000","--","--","--","--","--","1","--","--","--","--","2026/05/25","-5600"
"2026/05/21","フジクラ","5803 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/21","買建","300","4422","4381","1326600","1314300","--","--","--","--","--","1","--","--","--","--","2026/05/25","-12300"
"2026/05/21","アドバンテスト","6857 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/21","買建","100","26530","26330","2653000","2633000","--","--","--","--","--","1","--","--","--","--","2026/05/25","-20000"
"2026/05/21","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/21","買建","400","5886","5854","2354400","2341600","--","--","--","--","--","1","--","--","--","--","2026/05/25","-12800"
"2026/05/21","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/21","買建","200","5857","5817","1171400","1163400","--","--","--","--","--","1","--","--","--","--","2026/05/25","-8000"
"2026/05/21","ソフトバンクグループ","9984 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/21","買建","200","5875","5817","1175000","1163400","--","--","--","--","--","1","--","--","--","--","2026/05/25","-11600"
"2026/05/21","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/21","売建","500","4580","4585","2290000","2292500","--","--","--","--","--","1","--","--","--","--","2026/05/25","-2500"
"2026/05/21","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/21","売建","300","4570","4581","1371000","1374300","--","--","--","--","--","1","--","--","--","--","2026/05/25","-3300"
"2026/05/21","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/21","売建","200","4334","4354","866800","870800","--","--","--","--","--","1","--","--","--","--","2026/05/25","-4000"
"2026/05/21","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/21","売建","300","4383","4410","1314900","1323000","--","--","--","--","--","1","--","--","--","--","2026/05/25","-8100"
"2026/05/21","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/21","売建","200","4575","4581","915000","916200","--","--","--","--","--","1","--","--","--","--","2026/05/25","-1200"
"2026/05/21","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/21","売建","100","4333","4354","433300","435400","--","--","--","--","--","1","--","--","--","--","2026/05/25","-2100"
"2026/05/21","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/21","売建","100","4395","4410","439500","441000","--","--","--","--","--","1","--","--","--","--","2026/05/25","-1500"
"2026/05/21","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/21","売建","200","4335","4354","867000","870800","--","--","--","--","--","1","--","--","--","--","2026/05/25","-3800"
"2026/05/21","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/21","売建","100","4382","4409","438200","440900","--","--","--","--","--","1","--","--","--","--","2026/05/25","-2700"
"2026/05/21","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/21","売建","100","4326","4354","432600","435400","--","--","--","--","--","1","--","--","--","--","2026/05/25","-2800"


