
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2026年06月02日","2026年06月02日","18","1","18"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2026/06/02","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,4354,--,--,"2026/06/04",--
"2026/06/02","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",100,4387,--,--,"2026/06/04",--
"2026/06/02","フジクラ","5803","東証",信用新規売,"日計り"," 特定 ","--",200,4367,--,--,"2026/06/04",--
"2026/06/02","アドバンテスト","6857","東証",信用返済売,"日計り"," 特定 ","申告",100,25720,--,--,"2026/06/04",-5000
"2026/06/02","太陽誘電","6976","東証",信用返済売,"日計り"," 特定 ","申告",100,15325,--,--,"2026/06/04",32500
"2026/06/02","村田製作所","6981","東証",信用返済売,"日計り"," 特定 ","申告",100,10205,--,--,"2026/06/04",-1000
"2026/06/02","村田製作所","6981","東証",信用返済売,"日計り"," 特定 ","申告",200,10215,--,--,"2026/06/04",10000
"2026/06/02","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",100,8540,--,--,"2026/06/04",7300
"2026/06/02","ソフトバンクグループ","9984","東証",信用返済売,"日計り"," 特定 ","申告",200,8550,--,--,"2026/06/04",10800
"2026/06/02","アドバンテスト","6857","東証",信用新規買,"日計り"," 特定 ","--",100,25770,--,--,"2026/06/04",--
"2026/06/02","太陽誘電","6976","東証",信用新規買,"日計り"," 特定 ","--",100,15000,--,--,"2026/06/04",--
"2026/06/02","村田製作所","6981","東証",信用新規買,"日計り"," 特定 ","--",200,10165,--,--,"2026/06/04",--
"2026/06/02","村田製作所","6981","東証",信用新規買,"日計り"," 特定 ","--",100,10215,--,--,"2026/06/04",--
"2026/06/02","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",200,8496,--,--,"2026/06/04",--
"2026/06/02","ソフトバンクグループ","9984","東証",信用新規買,"日計り"," 特定 ","--",100,8467,--,--,"2026/06/04",--
"2026/06/02","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",200,4433,--,--,"2026/06/04",-13200
"2026/06/02","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",100,4434,--,--,"2026/06/04",-4700
"2026/06/02","フジクラ","5803","東証",信用返済買,"日計り"," 特定 ","申告",200,4433,--,--,"2026/06/04",-15800


