
信用決済明細

取引区分指定,指定銘柄,決済開始年月日,決済終了年月日,明細数,明細指定開始,明細指定終了
"指定なし","指定なし","2026年05月18日","2026年05月18日","10","1","10"

決済損益合計
+30900

（注）明細数および合計金額はご指定された期間の合計です。

決済日,銘柄,銘柄コード,決済市場,取引,期限,預り,課税,建市場,建日,買/売建,決済数量,建単価,決済単価,建代金,決済代金,新規建手数料,決済手数料,管理費,貸株料,金利,日数,逆日歩,消費税,書換料,諸費用計,受渡日,受渡金額/決済損益
"2026/05/18","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/18","買建","100","7286","7282","728600","728200","--","--","--","--","--","1","--","--","--","--","2026/05/20","-400"
"2026/05/18","任天堂","7974 ","東証","信用返済売","日計り","特定","申告","東証","2026/05/18","買建","100","7287","7282","728700","728200","--","--","--","--","--","1","--","--","--","--","2026/05/20","-500"
"2026/05/18","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/18","売建","100","5685","5653","568500","565300","--","--","--","--","--","1","--","--","--","--","2026/05/20","+3200"
"2026/05/18","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/18","売建","200","5724","5666","1144800","1133200","--","--","--","--","--","1","--","--","--","--","2026/05/20","+11600"
"2026/05/18","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/18","売建","100","5725","5705","572500","570500","--","--","--","--","--","1","--","--","--","--","2026/05/20","+2000"
"2026/05/18","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/18","売建","100","5685","5616","568500","561600","--","--","--","--","--","1","--","--","--","--","2026/05/20","+6900"
"2026/05/18","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/18","売建","100","5724","5705","572400","570500","--","--","--","--","--","1","--","--","--","--","2026/05/20","+1900"
"2026/05/18","フジクラ","5803 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/18","売建","100","5724","5665","572400","566500","--","--","--","--","--","1","--","--","--","--","2026/05/20","+5900"
"2026/05/18","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/18","売建","100","7270","7270","727000","727000","--","--","--","--","--","1","--","--","--","--","2026/05/20","--"
"2026/05/18","任天堂","7974 ","東証","信用返済買","日計り","特定","申告","東証","2026/05/18","売建","300","7270","7269","2181000","2180700","--","--","--","--","--","1","--","--","--","--","2026/05/20","+300"


